card_id,name,cost,power,counter,color,image_url,card_text,rarity,card_type,life,product_id,group_name
EB01-001,Kouzuki Oden (Alternate Art),0,5000,0,Green;Red,https://tcgplayer-cdn.tcgplayer.com/product/544524_200w.jpg,"All of your [Land of Wano] type Character cards without a Counter have a +1000 Counter, according to the rules. [DON!! x1] [When Attacking] If you have a [Land of Wano] type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",L,Leader,4,544524,Extra Booster: Memorial Collection
EB01-002,Izo,5,7000,0,Red,https://tcgplayer-cdn.tcgplayer.com/product/544525_200w.jpg,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters. [On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand : If your Leader has the [Land of Wano] or [Whitebeard Pirates] type, give up to 1 of your opponent's Leader or Character cards -2000 power during this turn.",R,Character,0,544525,Extra Booster: Memorial Collection
EB01-003,Kid & Killer (CS 25-26 Regionals Textured Chase Promo),4,5000,0,Red,https://tcgplayer-cdn.tcgplayer.com/product/658339_200w.jpg,"[Rush] (This card can attack on the turn in which it is played.) [When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",R,Character,0,658339,One Piece Promotion Cards
EB01-004,Koza,2,3000,1000,Red,https://tcgplayer-cdn.tcgplayer.com/product/544528_200w.jpg,[When Attacking] You may give your 1 active Leader -5000 power during this turn : Give up to 1 of your opponent's Characters -3000 power during this turn.,C,Character,0,544528,Extra Booster: Memorial Collection
EB01-005,Doma,1,3000,1000,Red,https://tcgplayer-cdn.tcgplayer.com/product/544529_200w.jpg,,C,Character,0,544529,Extra Booster: Memorial Collection
EB01-006,Tony Tony.Chopper (Treasure Cup 2024),3,4000,1000,Red,https://tcgplayer-cdn.tcgplayer.com/product/590986_200w.jpg,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x2][When Attacking] Give up to 1 of your opponent's Characters -3000 power during this turn.",SR,Character,0,590986,One Piece Promotion Cards
EB01-007,Yamato (Premium Card Collection -Best Selection Vol. 4-),5,5000,2000,Red,https://tcgplayer-cdn.tcgplayer.com/product/649682_200w.jpg,[Activate:Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,C,Character,0,649682,One Piece Promotion Cards
EB01-008,LittleOars Jr.,6,7000,1000,Red,https://tcgplayer-cdn.tcgplayer.com/product/544534_200w.jpg,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead.",R,Character,0,544534,Extra Booster: Memorial Collection
EB01-009,Just Shut Up and Come with Us!!!!,1,0,0,Red,https://tcgplayer-cdn.tcgplayer.com/product/544535_200w.jpg,"[Counter] Look at 5 cards from the top of your deck and play up to 1 [Animal] type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",C,Event,0,544535,Extra Booster: Memorial Collection
EB01-010,There's No Way You Could Defeat Me!!,3,0,0,Red,https://tcgplayer-cdn.tcgplayer.com/product/544536_200w.jpg,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 base power or less.,R,Event,0,544536,Extra Booster: Memorial Collection
EB01-011,Mini-Merry,1,0,0,Red,https://tcgplayer-cdn.tcgplayer.com/product/544537_200w.jpg,[Activate:Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck : Draw 1 card.,C,Stage,0,544537,Extra Booster: Memorial Collection
EB01-012,Cavendish (Treasure Cup 2024),5,6000,1000,Green,https://tcgplayer-cdn.tcgplayer.com/product/590988_200w.jpg,"[On Play]/[When Attacking] If your Leader has the [Supernovas] type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",SR,Character,0,590988,One Piece Promotion Cards
EB01-013,Kouzuki Hiyori (Alternate Art),4,0,1000,Green,https://tcgplayer-cdn.tcgplayer.com/product/544541_200w.jpg,"[Activate:Main] You may trash this Character : Play up to 1 [Land of Wano] type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",R,Character,0,544541,Extra Booster: Memorial Collection
EB01-014,Sanji (CS 25-26 Celebration Pack),4,5000,2000,Green,https://tcgplayer-cdn.tcgplayer.com/product/649632_200w.jpg,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.,R,Character,0,649632,One Piece Promotion Cards
EB01-015,Scratchmen Apoo (CS 25-26 Celebration Pack),1,1000,2000,Green,https://tcgplayer-cdn.tcgplayer.com/product/649633_200w.jpg,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,R,Character,0,649633,One Piece Promotion Cards
EB01-016,Bingoh,1,0,1000,Green,https://tcgplayer-cdn.tcgplayer.com/product/544544_200w.jpg,[Activate:Main] You may rest this Character : K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.,C,Character,0,544544,Extra Booster: Memorial Collection
EB01-017,Blueno (017),2,2000,1000,Green,https://tcgplayer-cdn.tcgplayer.com/product/544545_200w.jpg,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",C,Character,0,544545,Extra Booster: Memorial Collection
EB01-018,Mountain God,5,7000,1000,Green,https://tcgplayer-cdn.tcgplayer.com/product/544546_200w.jpg,,C,Character,0,544546,Extra Booster: Memorial Collection
